RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,,,,Error rate
0.74432,Experiment4Metamer_ResponseGroup1.m,2,8,2,17,20,q,1,,,,
0.73017,Experiment4Metamer_ResponseGroup1.m,1,20,2,18,19,p,1,,,,
0.53293,Experiment4Metamer_ResponseGroup1.m,1,12,1,19,19,p,1,,,,
0.69024,Experiment4Metamer_ResponseGroup1.m,1,13,1,16,19,p,1,,,,
0.50702,Experiment4Metamer_ResponseGroup1.m,1,8,2,11,19,p,1,,,,
0.74004,Experiment4Metamer_ResponseGroup1.m,1,16,1,18,19,p,1,,,,
0.43687,Experiment4Metamer_ResponseGroup1.m,1,14,1,18,19,p,1,,,,
0.52027,Experiment4Metamer_ResponseGroup1.m,1,6,2,13,19,p,1,,,,
0.74476,Experiment4Metamer_ResponseGroup1.m,1,3,2,14,19,p,1,,,,
0.58694,Experiment4Metamer_ResponseGroup1.m,1,8,1,7,19,p,1,,,,
0.74606,Experiment4Metamer_ResponseGroup1.m,1,15,1,16,19,p,1,,,,
0.66739,Experiment4Metamer_ResponseGroup1.m,2,16,2,5,20,q,1,,,,
0.66049,Experiment4Metamer_ResponseGroup1.m,1,8,2,17,19,p,1,,,,
0.59789,Experiment4Metamer_ResponseGroup1.m,1,13,2,12,19,p,1,,,,
0.75065,Experiment4Metamer_ResponseGroup1.m,1,5,1,4,19,p,1,,,,
0.7522,Experiment4Metamer_ResponseGroup1.m,1,12,1,12,19,p,1,,,,
0.66838,Experiment4Metamer_ResponseGroup1.m,1,9,2,1,19,p,1,,,,
0.0017496,Experiment4Metamer_ResponseGroup1.m,1,19,1,18,19,p,1,,,,
0.22063,Experiment4Metamer_ResponseGroup1.m,2,6,1,11,20,q,1,,,,
0.74775,Experiment4Metamer_ResponseGroup1.m,1,13,1,12,19,p,1,,,,
0.88698,Experiment4Metamer_ResponseGroup1.m,1,14,1,5,19,p,1,,,,
0.042558,Experiment4Metamer_ResponseGroup1.m,2,13,1,13,20,q,1,,,,
0.0017827,Experiment4Metamer_ResponseGroup1.m,1,6,2,3,19,p,1,,,,
0.24388,Experiment4Metamer_ResponseGroup1.m,1,2,1,11,19,p,1,,,,
1.0392,Experiment4Metamer_ResponseGroup1.m,1,5,2,3,19,p,1,,,,
0.61266,Experiment4Metamer_ResponseGroup1.m,1,9,1,11,19,p,1,,,,
0.050819,Experiment4Metamer_ResponseGroup1.m,2,17,1,15,20,q,1,,,,
0.26482,Experiment4Metamer_ResponseGroup1.m,1,12,2,13,19,p,1,,,,
0.26342,Experiment4Metamer_ResponseGroup1.m,2,16,2,1,20,q,1,,,,
0.72523,Experiment4Metamer_ResponseGroup1.m,1,2,2,5,19,p,1,,,,
